Breed Name,Type,Region of Origin (India/World),Climate Suitability,Avg. Milk Yield (L/day),Milk Type (Fat %),Physical Traits,Utility,Crossbreeding / Programs,Special Features
Alambadi,Cattle,Tamil Nadu (India),"Hot, dry, semi-arid",3,4% fat,"Grey, long horns, sturdy",Draught,Limited crossbreeding,Strong draught breed
Amritmahal,Cattle,Karnataka (India),Hot & dry,2.5,4% fat,"White/grey, compact",Draught,"Crossbred with HF, Jersey",Military use in past
Ayrshire,Exotic Cattle,Scotland (UK),Temperate,17.5,4% fat,Red & white patches,Dairy,Used in Indian crossbreeding,High adaptability
Banni,Buffalo,"Kutch, Gujarat (India)","Arid, saline areas",10,6–7% fat,"Black, medium size",Dairy,Selected breeding in Banni area,Survives in harsh desert
Bargur,Cattle,Tamil Nadu (India),"Hilly, forest",2.5,4% fat,"Reddish-brown, white streaks",Draught,Local conservation,"Agile, used in forests"
Bhadawari,Buffalo,UP-MP border (India),"Hot, semi-arid",5,7–8% fat,Copper-colored body,Dairy,Crossbred with Murrah,High butterfat milk
Brown Swiss,Exotic Cattle,Switzerland,Cold to temperate,22.5,4% fat,"Brown, large body",Dairy,Used in Indian crossbreeding,Good longevity
Dangi,Cattle,Maharashtra (India),"Heavy rainfall, hilly",3,4% fat,"Spotted coat, hardy",Draught/Dual,Conservation efforts,Works in waterlogged fields
Deoni,Cattle,"Maharashtra, Karnataka, AP","Hot, dry",4.5,4.5% fat,White/black patches,Dual-purpose,"Crossbreeding with Jersey, HF",Popular in South India
Gir,Cattle,Gujarat (India),"Hot, semi-arid",12.5,4.5% fat,"Red/white mottled skin, pendulous ears",Dairy,HF × Gir hybrids,Known for A2 milk
Guernsey,Exotic Cattle,Channel Islands (UK),Temperate,18,4.8% fat,Light red and white,Dairy,Crossbreeding in India,High beta-carotene milk
Hallikar,Cattle,Karnataka (India),"Hot, semi-arid",2,4% fat,"Grey/white, compact, strong horns",Draught,Conservation programs,Foundation of Amritmahal
Hariana,Cattle,Haryana (India),"Hot, semi-arid",4.5,4.5% fat,"White/grey, medium size",Dual-purpose,Crossbreeding with Jersey,Adapted to North India
Holstein Friesian,Exotic Cattle,Netherlands,Temperate,25,3.5% fat,Black & white patches,Dairy,Major role in Indian crossbreeding,Highest milk yield globally
Jaffrabadi,Buffalo,Gujarat (India),"Hot, humid",8,7–8% fat,"Massive size, long flat horns",Draught & Dairy,Crossbred with Murrah,One of heaviest buffalo breeds
Jersey,Exotic Cattle,Channel Islands (UK),Temperate,20,5% fat,"Light brown, small body",Dairy,Widespread Indian crossbreeding,Rich milk fat
Kangayam,Cattle,Tamil Nadu (India),"Hot, dry",2.5,4% fat,"Grey, medium build",Draught,Local breeding programs,Good draught power
Kankrej,Cattle,Gujarat-Rajasthan (India),"Hot, semi-arid",6,4.8% fat,"Grey/white, lyre-shaped horns",Dual-purpose,"Crossbreeding with HF, Brown Swiss",High endurance
Kasargod,Cattle,Kerala (India),"Humid, hot",2,4% fat,"Small, black",Draught,Conservation efforts,Small indigenous breed
Kenkatha,Cattle,UP-MP border (India),"Dry, rocky",2.5,4% fat,"Grey, rugged",Draught,Local breeding only,Hardy draught animal
Kherigarh,Cattle,Uttar Pradesh (India),"Hot, humid",2,4% fat,"Light grey, medium",Draught,Local breeding,Used for light draught
Khillari,Cattle,Maharashtra (India),"Dry, plateau",2.5,4% fat,"Grey/white, compact",Draught,State programs,Fast-moving draught breed
Krishna Valley,Cattle,Karnataka-Maharashtra,"Hot, semi-arid",3.5,4.5% fat,Large white-grey,Dual-purpose,Crossbreeding,Strong draught
Malnad Gidda,Cattle,Karnataka (India),"Heavy rainfall, hilly",2,4% fat,"Small, black",Draught,Conservation,"Low maintenance, hardy"
Mehsana,Buffalo,Gujarat (India),"Hot, semi-arid",8,6.5–7.5% fat,Medium black,Dairy,Cross with Murrah,Good dairy buffalo
Murrah,Buffalo,"Haryana, Punjab (India)","Hot, semi-arid",10,7–8% fat,"Jet black, curled horns",Dairy,Most used in crossbreeding,Highest yielding buffalo
Nagori,Cattle,Rajasthan (India),"Hot, arid",2.5,4% fat,"Grey, tall, strong",Draught,Local breeding,Camel-like endurance
Nagpuri,Buffalo,Maharashtra (India),"Hot, dry",5,7% fat,"Black, sickle-shaped horns",Dairy/Draught,Crossbreeding with Murrah,Dual purpose
Nili Ravi,Buffalo,Punjab (India/Pakistan),"Hot, humid",8,6.5–7.5% fat,"Black, white markings",Dairy,Crossbred with Murrah,Good dairy buffalo
Nimari,Cattle,Madhya Pradesh (India),"Hot, dry",2.5,4% fat,"Red, medium build",Draught,Local breeding,Hardy draught breed
Ongole,Cattle,Andhra Pradesh (India),"Hot, humid",4,4.5% fat,"White, large size",Draught & Export,Crossbreeding,Exported worldwide
Pulikulam,Cattle,Tamil Nadu (India),"Hot, dry",2,4% fat,"Small, grey",Draught,Conservation,Used in Jallikattu
Rathi,Cattle,Rajasthan (India),"Hot, arid",6,4.5% fat,"White, brown patches",Dairy,Crossbreeding with HF,Good dairy breed
Red Dane,Exotic Cattle,Denmark,Temperate,20,4% fat,Red coat,Dairy,Crossbreeding in India,High milk yield
Red Sindhi,Cattle,Sindh (Pakistan/India),"Hot, arid",7,4.6% fat,Reddish-brown,Dairy,Crossbreeding with Jersey,Popular dairy breed
Sahiwal,Cattle,Punjab (India/Pakistan),"Hot, semi-arid",8,4.8% fat,Reddish-brown,Dairy,Crossbreeding with HF,Heat tolerant
Surti,Buffalo,Gujarat (India),"Humid, semi-arid",5,7% fat,"Medium black, sickle horns",Dairy,Cross with Murrah,Rich fat milk
Tharparkar,Cattle,Rajasthan (India/Pakistan),"Hot, arid",5,4.5% fat,White/grey,Dual-purpose,Crossbreeding with Jersey,Disease resistant
Toda,Buffalo,"Nilgiri Hills, Tamil Nadu","Cool, hilly",3,7% fat,"Medium, black",Dairy,Local breeding,Tribal community breed
Umblachery,Cattle,Tamil Nadu (India),"Hot, humid",2.5,4% fat,"Grey/white, medium",Draught,Local breeding,Agile draught breed
Vechur,Cattle,Kerala (India),"Hot, humid",1.5,4.5% fat,"Dwarf, small size",Dairy,Conservation programs,World’s smallest cattle breed
